"multilabel_id","query","filters","gold_answers","answer","context","exact_match","f1","sas","exact_match_context_scope","f1_context_scope","sas_context_scope","exact_match_document_id_scope","f1_document_id_scope","sas_document_id_scope","exact_match_document_id_and_context_scope","f1_document_id_and_context_scope","sas_document_id_and_context_scope","gold_contexts","rank","document_ids","gold_document_ids","offsets_in_document","gold_offsets_in_documents","offsets_in_context","gold_offsets_in_contexts","gold_answers_exact_match","gold_answers_f1","gold_answers_sas","gold_documents_id_match","gold_contexts_similarity","type","node","eval_mode","index"
"76592e61023421c5f3a5a43996464c04","Warum nennt man das erste Semester auch ""Assessmentsemester""?","","['Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']","Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht"," Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht",0.0,0.42975206611570255,0.7444625496864319,0.0,0.42975206611570255,0.7444625496864319,0.0,0.42975206611570255,0.7444625496864319,0.0,0.42975206611570255,0.7444625496864319,"['Warum nennt man das erste Semester auch ""Assessmentsemester""? Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']",1.0,"['3e2030f9788e1a7006c54f11ca6019de-0']","['3e2030f9788e1a7006c54f11ca6019de-0']","[{'start': 62, 'end': 259}]","[{'start': 62, 'end': 804}]","[{'start': 1, 'end': 198}]","[{'start': 62, 'end': 804}]","[0]","[0.42975206611570255]","[0.7444625496864319]","[1.0]","[100.0]","answer","Reader","integrated",0
"76592e61023421c5f3a5a43996464c04","Warum nennt man das erste Semester auch ""Assessmentsemester""?","","['Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']","sind die dafür vorgesehenen Prüfungen für den ersten Prüfungszeitraum terminiert","hen Studiengängen auch im zweiten) sind die dafür vorgesehenen Prüfungen für den ersten Prüfungszeitraum terminiert. Sie müssen sie bereits im zweiten",0.0,0.07619047619047618,0.4068886935710907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Warum nennt man das erste Semester auch ""Assessmentsemester""? Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']",2.0,"['eaa58ab4436853cb01c15cf684cf1a4d-0']","['3e2030f9788e1a7006c54f11ca6019de-0']","[{'start': 254, 'end': 334}]","[{'start': 62, 'end': 804}]","[{'start': 35, 'end': 115}]","[{'start': 62, 'end': 804}]","[0]","[0.07619047619047618]","[0.4068886935710907]","[0.0]","[46.0]","answer","Reader","integrated",1
"76592e61023421c5f3a5a43996464c04","Warum nennt man das erste Semester auch ""Assessmentsemester""?","","['Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']","Klausurprüfungen","Wann finden die Klausurprüfungen zum Assessmentsemester statt? Klausuren werden stets unmittelbar nach Ende der Vorlesungszeit, im so genannten 1. Prü",0.0,0.0,0.41135090589523315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Warum nennt man das erste Semester auch ""Assessmentsemester""? Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']",3.0,"['361c29b31a08d548917ab524dc075a2-0']","['3e2030f9788e1a7006c54f11ca6019de-0']","[{'start': 16, 'end': 32}]","[{'start': 62, 'end': 804}]","[{'start': 16, 'end': 32}]","[{'start': 62, 'end': 804}]","[0]","[0]","[0.41135090589523315]","[0.0]","[50.0]","answer","Reader","integrated",2
"76592e61023421c5f3a5a43996464c04","Warum nennt man das erste Semester auch ""Assessmentsemester""?","","['Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']","Prüfungen des ersten Semesters"", nicht die ""Studierenden des ersten Semesters"". Für die Prüfungen des ersten Semesters macht der Allgemeine Teil der SPOBa für alle Studiengänge verbindliche Vorgaben: Die laut Studien- und Prüfungsordnung des jeweiligen Studiengangs vorgesehenen Prüfungen des Assessmentsemesters müssen zum ersten Prüfungstermin angetreten werden","""Prüfungen des ersten Semesters"", nicht die ""Studierenden des ersten Semesters"". Für die Prüfungen des ersten Semesters macht der Allgemeine Teil der SPOBa für alle Studiengänge verbindliche Vorgaben: Die laut Studien- und Prüfungsordnung des jeweiligen Studiengangs vorgesehenen Prüfungen des Assessmentsemesters müssen zum ersten Prüfungstermin angetreten werden",0.0,0.12857142857142856,0.5804114937782288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Warum nennt man das erste Semester auch ""Assessmentsemester""? Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']",4.0,"['6c0eb1cd790aa9e9cc6e47b22a868ac0-0']","['3e2030f9788e1a7006c54f11ca6019de-0']","[{'start': 250, 'end': 613}]","[{'start': 62, 'end': 804}]","[{'start': 1, 'end': 364}]","[{'start': 62, 'end': 804}]","[0]","[0.12857142857142856]","[0.5804114937782288]","[0.0]","[51.625859520596364]","answer","Reader","integrated",3
"76592e61023421c5f3a5a43996464c04","Warum nennt man das erste Semester auch ""Assessmentsemester""?","","['Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']","Sie werden also im 1. Prüfungszeitraum für alle Prüfungen des 1. Semesters automatisch angemeldet"," Klausuren schreiben, d.h. Sie werden also im 1. Prüfungszeitraum für alle Prüfungen des 1. Semesters automatisch angemeldet.Im 2. Prüfungszeitraum mü",0.0,0.03669724770642201,0.47448015213012695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Warum nennt man das erste Semester auch ""Assessmentsemester""? Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']",5.0,"['361c29b31a08d548917ab524dc075a2-0']","['3e2030f9788e1a7006c54f11ca6019de-0']","[{'start': 840, 'end': 937}]","[{'start': 62, 'end': 804}]","[{'start': 27, 'end': 124}]","[{'start': 62, 'end': 804}]","[0]","[0.03669724770642201]","[0.47448015213012695]","[0.0]","[41.61073825503355]","answer","Reader","integrated",4
"76592e61023421c5f3a5a43996464c04","Warum nennt man das erste Semester auch ""Assessmentsemester""?","","['Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']","hat im ersten Prüfungszeitraum die Prüfung X nicht bestanden","eispiel: Student*in A ist im 1. Semester und hat im ersten Prüfungszeitraum die Prüfung X nicht bestanden. Sie wird für die Prüfung X automatisch zum ",0.0,0.01923076923076923,0.32235270738601685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Warum nennt man das erste Semester auch ""Assessmentsemester""? Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']",6.0,"['6c0eb1cd790aa9e9cc6e47b22a868ac0-0']","['3e2030f9788e1a7006c54f11ca6019de-0']","[{'start': 1657, 'end': 1717}]","[{'start': 62, 'end': 804}]","[{'start': 45, 'end': 105}]","[{'start': 62, 'end': 804}]","[0]","[0.01923076923076923]","[0.32235270738601685]","[0.0]","[46.308724832214764]","answer","Reader","integrated",5
"76592e61023421c5f3a5a43996464c04","Warum nennt man das erste Semester auch ""Assessmentsemester""?","","['Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']","wenn Sie die Bachelorzwischenprüfung (Grundstudium) bestanden haben"," darf das Praxissemester begonnen werden, wenn Sie die Bachelorzwischenprüfung (Grundstudium) bestanden haben. Der besondere Teil der Studien- und Prü",0.0,0.0196078431372549,0.407975971698761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Warum nennt man das erste Semester auch ""Assessmentsemester""? Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']",7.0,"['9ee5b9a459ce9126dcd4e05e5b188c97-0']","['3e2030f9788e1a7006c54f11ca6019de-0']","[{'start': 282, 'end': 349}]","[{'start': 62, 'end': 804}]","[{'start': 42, 'end': 109}]","[{'start': 62, 'end': 804}]","[0]","[0.0196078431372549]","[0.407975971698761]","[0.0]","[53.02013422818792]","answer","Reader","integrated",6
"76592e61023421c5f3a5a43996464c04","Warum nennt man das erste Semester auch ""Assessmentsemester""?","","['Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']","einen zweiten Prüfungszeitraum am Ende der vorlesungsfreien Zeit bzw. zu Beginn der Vorlesungszeit des folgenden Semesters","sters gibt es einen zweiten Prüfungszeitraum am Ende der vorlesungsfreien Zeit bzw. zu Beginn der Vorlesungszeit des folgenden Semesters (vgl. § 18 Ab",0.0,0.036036036036036036,0.43295952677726746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Warum nennt man das erste Semester auch ""Assessmentsemester""? Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']",8.0,"['6c0eb1cd790aa9e9cc6e47b22a868ac0-0']","['3e2030f9788e1a7006c54f11ca6019de-0']","[{'start': 1093, 'end': 1215}]","[{'start': 62, 'end': 804}]","[{'start': 14, 'end': 136}]","[{'start': 62, 'end': 804}]","[0]","[0.036036036036036036]","[0.43295952677726746]","[0.0]","[53.333333333333336]","answer","Reader","integrated",7
"76592e61023421c5f3a5a43996464c04","Warum nennt man das erste Semester auch ""Assessmentsemester""?","","['Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']","Rücktritt von Prüfungen ohne Angabe von Gründen","dnung erst ab dem vierten Semester einen einmaligen Rücktritt von Prüfungen ohne Angabe von Gründen. Sie können dies direkt online innerhalb einer ent",0.0,0.0,0.2770664691925049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Warum nennt man das erste Semester auch ""Assessmentsemester""? Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']",9.0,"['eaa58ab4436853cb01c15cf684cf1a4d-0']","['3e2030f9788e1a7006c54f11ca6019de-0']","[{'start': 1199, 'end': 1246}]","[{'start': 62, 'end': 804}]","[{'start': 52, 'end': 99}]","[{'start': 62, 'end': 804}]","[0]","[0]","[0.2770664691925049]","[0.0]","[51.33333333333333]","answer","Reader","integrated",8
"76592e61023421c5f3a5a43996464c04","Warum nennt man das erste Semester auch ""Assessmentsemester""?","","['Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']","imbesonderen Teil der Ordnung nicht anders geregelt","ubt die Studien- und Prüfungsordnung dann, sofern imbesonderen Teil der Ordnung nicht anders geregelt, einen einmaligen Rücktritt von Prüfungen ohne A",0.0,0.0196078431372549,0.3488071858882904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Warum nennt man das erste Semester auch ""Assessmentsemester""? Das erste Semester soll Ihnen den Einstieg ins Studium erleichtern und Ihnen helfen, frühzeitig einzuschätzen, ob der gewählte Studiengang Ihren Vorstellungen und Neigungen auch wirklich entspricht. Es ist so aufgebaut, dass Ihnen sowohl fachliche Grundlagen als auch Lern- und Arbeitstechniken, die für ein erfolgreiches Studium notwendig sind, vermittelt werden. Dadurch wird Ihre Studierfähigkeit gefördert, aber auch frühzeitig überprüft und bewertet.Das englische Wort ""assessment"" kann mit ""Einschätzung"" oder ""Bewertung"" übersetzt werden.Für das Assessmentsemester gibt es einige Besonderheiten in der Studien- und Prüfungsordnung, die den oben beschriebenen Zielen dienen sollen und in den nachfolgenden Abschnitten beschrieben sind.\n']",10.0,"['eaa58ab4436853cb01c15cf684cf1a4d-0']","['3e2030f9788e1a7006c54f11ca6019de-0']","[{'start': 786, 'end': 837}]","[{'start': 62, 'end': 804}]","[{'start': 50, 'end': 101}]","[{'start': 62, 'end': 804}]","[0]","[0.0196078431372549]","[0.3488071858882904]","[0.0]","[63.38638985005767]","answer","Reader","integrated",9
