"multilabel_id","query","filters","gold_answers","answer","context","exact_match","f1","sas","exact_match_context_scope","f1_context_scope","sas_context_scope","exact_match_document_id_scope","f1_document_id_scope","sas_document_id_scope","exact_match_document_id_and_context_scope","f1_document_id_and_context_scope","sas_document_id_and_context_scope","gold_contexts","rank","document_ids","gold_document_ids","offsets_in_document","gold_offsets_in_documents","offsets_in_context","gold_offsets_in_contexts","gold_answers_exact_match","gold_answers_f1","gold_answers_sas","gold_documents_id_match","gold_contexts_similarity","type","node","eval_mode","index"
"4b8fde0214eb39e219f7a090362c4f80","Entfällt das Vorpraktikum?","","['Entfällt.']","Entfällt","§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grund",1.0,1.0,0.9148849844932556,1.0,1.0,0.9148849844932556,1.0,1.0,0.9148849844932556,1.0,1.0,0.9148849844932556,"['§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium). Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen. Den Abschluss des Studiums bildet die Bachelorarbeit.']",1.0,"['39428dd80be6e4bbc58853b34a768262-0']","['39428dd80be6e4bbc58853b34a768262-0']","[{'start': 62, 'end': 70}]","[{'start': 62, 'end': 71}]","[{'start': 62, 'end': 70}]","[{'start': 62, 'end': 71}]","[1]","[1.0]","[0.9148849844932556]","[1.0]","[100.0]","answer","Reader","integrated",0
"4b8fde0214eb39e219f7a090362c4f80","Entfällt das Vorpraktikum?","","['Entfällt.']","Bachelorzwischenprüfung abschließt","tsch und Tourismusmanagement nach drei Semestern, mit der Bachelorzwischenprüfung abschließt, und das Hauptstudium, das mit der Bachelorprüfung abschl",0.0,0.0,0.06988634169101715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium). Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen. Den Abschluss des Studiums bildet die Bachelorarbeit.']",2.0,"['7984f4fd0100d0397bfe84fbd4840ab3-0']","['39428dd80be6e4bbc58853b34a768262-0']","[{'start': 258, 'end': 292}]","[{'start': 62, 'end': 71}]","[{'start': 58, 'end': 92}]","[{'start': 62, 'end': 71}]","[0]","[0]","[0.06988634169101715]","[0.0]","[52.55972696245734]","answer","Reader","integrated",1
"4b8fde0214eb39e219f7a090362c4f80","Entfällt das Vorpraktikum?","","['Entfällt.']","Entsprechend werden für die bestandene Bachelorarbeit bzw. für die bestandene Mündliche Bachelorprüfung ECTS-Punkte nach Maßgabe des Besonderen Teils vergeben","Entsprechend werden für die bestandene Bachelorarbeit bzw. für die bestandene Mündliche Bachelorprüfung ECTS-Punkte nach Maßgabe des Besonderen Teils vergeben",0.0,0.0,0.14328616857528687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium). Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen. Den Abschluss des Studiums bildet die Bachelorarbeit.']",3.0,"['bff09ab4d4a4483a99b1057d46a89d5-0']","['39428dd80be6e4bbc58853b34a768262-0']","[{'start': 456, 'end': 614}]","[{'start': 62, 'end': 71}]","[{'start': 0, 'end': 158}]","[{'start': 62, 'end': 71}]","[0]","[0]","[0.14328616857528687]","[0.0]","[45.169172932330824]","answer","Reader","integrated",2
"4b8fde0214eb39e219f7a090362c4f80","Entfällt das Vorpraktikum?","","['Entfällt.']","Für jedes Modul ist in der Regel eine Modulprüfung gemäß § 3 abzulegen","er innerhalb von zwei aufeinander folgenden Semestern vermittelt werden können. Für jedes Modul ist in der Regel eine Modulprüfung gemäß § 3 abzulegen",0.0,0.0,0.05888764560222626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium). Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen. Den Abschluss des Studiums bildet die Bachelorarbeit.']",4.0,"['3fdbb57629d66770d692d9462451f957-0']","['39428dd80be6e4bbc58853b34a768262-0']","[{'start': 558, 'end': 628}]","[{'start': 62, 'end': 71}]","[{'start': 80, 'end': 150}]","[{'start': 62, 'end': 71}]","[0]","[0]","[0.05888764560222626]","[0.0]","[42.666666666666664]","answer","Reader","integrated",3
"4b8fde0214eb39e219f7a090362c4f80","Entfällt das Vorpraktikum?","","['Entfällt.']","Die Studierfähigkeit wird gefördert und überprüft","echniken für ein erfolgreiches Studium vermitteln. Die Studierfähigkeit wird gefördert und überprüft. Das Assessmentsemester soll den Studierenden erm",0.0,0.0,0.05140654370188713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium). Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen. Den Abschluss des Studiums bildet die Bachelorarbeit.']",5.0,"['11a0bdb62a8d04b8af5f7cea3ba66e71-0']","['39428dd80be6e4bbc58853b34a768262-0']","[{'start': 220, 'end': 269}]","[{'start': 62, 'end': 71}]","[{'start': 51, 'end': 100}]","[{'start': 62, 'end': 71}]","[0]","[0]","[0.05140654370188713]","[0.0]","[45.333333333333336]","answer","Reader","integrated",4
"8167d0e664b1e1b28d6d413c05899ce6","Wie viele Semester umfasst der Studiengang?","","['Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium).']","drei","ationsdesign und Wirtschaftssprache Deutsch und Tourismusmanagement nach drei Semestern, mit der Bachelorzwischenprüfung abschließt, und das Hauptstud",0.0,0.0,0.16173216700553894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium). Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen. Den Abschluss des Studiums bildet die Bachelorarbeit.']",1.0,"['7984f4fd0100d0397bfe84fbd4840ab3-0']","['39428dd80be6e4bbc58853b34a768262-0']","[{'start': 234, 'end': 238}]","[{'start': 90, 'end': 190}]","[{'start': 73, 'end': 77}]","[{'start': 90, 'end': 190}]","[0]","[0]","[0.16173216700553894]","[0.0]","[44.666666666666664]","answer","Reader","integrated",0
"8167d0e664b1e1b28d6d413c05899ce6","Wie viele Semester umfasst der Studiengang?","","['Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium).']","Sem","Allgemeine Abkürzungen: Sem = Semester, SWS = Semesterwochenstunden, ECTS = European Credit Transfer System, LV = Lehrveranstaltung, MO = Modul, PM = ",0.0,0.0,0.2925370931625366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium). Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen. Den Abschluss des Studiums bildet die Bachelorarbeit.']",2.0,"['fe455b5b76894ada833c5cbff09c110f-0']","['39428dd80be6e4bbc58853b34a768262-0']","[{'start': 24, 'end': 27}]","[{'start': 90, 'end': 190}]","[{'start': 24, 'end': 27}]","[{'start': 90, 'end': 190}]","[0]","[0]","[0.2925370931625366]","[0.0]","[42.95302013422819]","answer","Reader","integrated",1
"8167d0e664b1e1b28d6d413c05899ce6","Wie viele Semester umfasst der Studiengang?","","['Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium).']","eines","axis sein. Die Inhalte eines Moduls sind so bemessen, dass sie innerhalb eines Semesters oder innerhalb von zwei aufeinander folgenden Semestern vermi",0.0,0.0,0.17439238727092743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium). Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen. Den Abschluss des Studiums bildet die Bachelorarbeit.']",3.0,"['3fdbb57629d66770d692d9462451f957-0']","['39428dd80be6e4bbc58853b34a768262-0']","[{'start': 460, 'end': 465}]","[{'start': 90, 'end': 190}]","[{'start': 73, 'end': 78}]","[{'start': 90, 'end': 190}]","[0]","[0]","[0.17439238727092743]","[0.0]","[46.666666666666664]","answer","Reader","integrated",2
"8167d0e664b1e1b28d6d413c05899ce6","Wie viele Semester umfasst der Studiengang?","","['Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium).']","erste","§ 2 Regelstudienzeit, Studienaufbau und Modularisierung (3) Das erste Studiensemester ist ein Assessmentsemester. Neben den Fachgrundlagen soll es die",0.0,0.0,0.20538900792598724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium). Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen. Den Abschluss des Studiums bildet die Bachelorarbeit.']",4.0,"['11a0bdb62a8d04b8af5f7cea3ba66e71-0']","['39428dd80be6e4bbc58853b34a768262-0']","[{'start': 64, 'end': 69}]","[{'start': 90, 'end': 190}]","[{'start': 64, 'end': 69}]","[{'start': 90, 'end': 190}]","[0]","[0]","[0.20538900792598724]","[0.0]","[56.00000000000001]","answer","Reader","integrated",3
"8167d0e664b1e1b28d6d413c05899ce6","Wie viele Semester umfasst der Studiengang?","","['Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium).']","ganz oder teilweise","lteilprüfungen, Bachelorarbeit, Mündliche Bachelorprüfung) können ganz oder teilweise in einer Fremdsprache abgehalten werden. Näheres regelt der Beso",0.0,0.0,0.14556211233139038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium). Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen. Den Abschluss des Studiums bildet die Bachelorarbeit.']",5.0,"['ebf4fb65d64c434bd8f25b4becba3b18-0']","['39428dd80be6e4bbc58853b34a768262-0']","[{'start': 179, 'end': 198}]","[{'start': 90, 'end': 190}]","[{'start': 66, 'end': 85}]","[{'start': 90, 'end': 190}]","[0]","[0]","[0.14556211233139038]","[0.0]","[39.56043956043956]","answer","Reader","integrated",4
"349d807285fdbda48a6e3506bccaf483","Wann findet das Praxissemester statt?","","['Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen.']","P","esung, Ü = Übung (mit Betreuung), LÜ = Laborübung, W = Workshop / Seminar, P = Praktikum, PJ = Projekt, E = Exkursion, X = Veranstaltungsart ist abhän",0.0,0.0,0.14103426039218903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium). Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen. Den Abschluss des Studiums bildet die Bachelorarbeit.']",1.0,"['fe455b5b76894ada833c5cbff09c110f-0']","['39428dd80be6e4bbc58853b34a768262-0']","[{'start': 309, 'end': 310}]","[{'start': 191, 'end': 271}]","[{'start': 75, 'end': 76}]","[{'start': 191, 'end': 271}]","[0]","[0]","[0.14103426039218903]","[0.0]","[36.66666666666667]","answer","Reader","integrated",0
"349d807285fdbda48a6e3506bccaf483","Wann findet das Praxissemester statt?","","['Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen.']","innerhalb eines Semesters oder innerhalb von zwei aufeinander folgenden Semestern"," Moduls sind so bemessen, dass sie innerhalb eines Semesters oder innerhalb von zwei aufeinander folgenden Semestern vermittelt werden können. Für jed",0.0,0.0,0.3277273178100586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium). Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen. Den Abschluss des Studiums bildet die Bachelorarbeit.']",2.0,"['3fdbb57629d66770d692d9462451f957-0']","['39428dd80be6e4bbc58853b34a768262-0']","[{'start': 450, 'end': 531}]","[{'start': 191, 'end': 271}]","[{'start': 35, 'end': 116}]","[{'start': 191, 'end': 271}]","[0]","[0]","[0.3277273178100586]","[0.0]","[44.966442953020135]","answer","Reader","integrated",1
"349d807285fdbda48a6e3506bccaf483","Wann findet das Praxissemester statt?","","['Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen.']","drei Semestern","sdesign und Wirtschaftssprache Deutsch und Tourismusmanagement nach drei Semestern, mit der Bachelorzwischenprüfung abschließt, und das Hauptstudium, ",0.0,0.0,0.3509719669818878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium). Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen. Den Abschluss des Studiums bildet die Bachelorarbeit.']",3.0,"['7984f4fd0100d0397bfe84fbd4840ab3-0']","['39428dd80be6e4bbc58853b34a768262-0']","[{'start': 234, 'end': 248}]","[{'start': 191, 'end': 271}]","[{'start': 68, 'end': 82}]","[{'start': 191, 'end': 271}]","[0]","[0]","[0.3509719669818878]","[0.0]","[45.14988814317674]","answer","Reader","integrated",2
"349d807285fdbda48a6e3506bccaf483","Wann findet das Praxissemester statt?","","['Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen.']","Eine Arbeitsstunde umfasst 60 Minuten","kte. (4) Der zeitliche Aufwand für einen ECTS-Punkt beträgt einheitlich in einem Studiengang 30 Arbeitsstunden. Eine Arbeitsstunde umfasst 60 Minuten.",0.0,0.0,0.14264757931232452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['§ 57 Studiengang Angewandte Informatik (AIN) (1) Vorpraktikum Entfällt. (2) Studienaufbau Der Studiengang umfasst sieben Semester (zwei Semester Grundstudium und fünf Semester Hauptstudium). Das integrierte praktische Studiensemester ist im vierten Semester zu erbringen. Den Abschluss des Studiums bildet die Bachelorarbeit.']",4.0,"['bff09ab4d4a4483a99b1057d46a89d5-0']","['39428dd80be6e4bbc58853b34a768262-0']","[{'start': 794, 'end': 831}]","[{'start': 191, 'end': 271}]","[{'start': 112, 'end': 149}]","[{'start': 191, 'end': 271}]","[0]","[0]","[0.14264757931232452]","[0.0]","[43.99999999999999]","answer","Reader","integrated",3
